CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,RiskSegment,ProductEngagement,FinancialStabilityScore
654,France,Male,40,6,0.0,1,0,0,183872.88,1,Medium Risk,0.25,0.9193989694012494
569,Spain,Female,34,6,144855.34,1,0,0,196555.32,0,Medium Risk,0.25,1.5601608743690658
640,France,Male,63,2,68432.45,2,1,1,112503.24,1,Medium Risk,0.7,0.835287335272365
562,France,Male,45,6,136855.24,1,1,0,46864.0,0,Medium Risk,0.45,0.7797902768111131
721,France,Female,55,3,44020.89,1,1,0,65864.4,1,Medium Risk,0.45,0.5047876516684682
456,Germany,Male,32,9,133060.63,1,1,1,125167.92,0,Medium Risk,0.45,1.1562004897449418
811,Spain,Male,39,7,0.0,2,1,1,177519.39,0,Low Risk,0.7,0.8876303249002163
534,France,Male,24,1,0.0,1,1,1,169653.32,0,Medium Risk,0.45,0.8482984960234504
423,France,Female,36,5,97665.61,1,1,0,118372.55,1,Medium Risk,0.45,0.9811490682255695
594,Germany,Male,28,5,185013.02,1,1,0,16481.12,0,Medium Risk,0.45,0.8198117613006246
725,Spain,Female,32,0,0.0,2,1,1,138525.19,0,Medium Risk,0.7,0.6926519937149637
716,France,Female,52,7,65971.61,2,1,0,14608.0,1,Low Risk,0.7,0.3359846045935907
595,Germany,Female,41,9,150463.11,2,0,1,81548.38,0,Medium Risk,0.5,1.0074553401748492
679,France,Female,33,1,0.0,2,0,0,69608.48,0,Medium Risk,0.5,0.3480554868863069
667,Spain,Male,39,9,0.0,2,1,0,68873.8,0,Low Risk,0.7,0.3443819487612734
661,France,Female,37,5,136425.18,1,1,0,81102.81,0,Medium Risk,0.45,0.9492766815504762
655,Spain,Male,38,3,250898.09,3,0,1,81054.0,1,High Risk,0.75,1.405285238724976
555,France,Male,55,4,146798.81,1,1,1,74149.77,0,Medium Risk,0.45,0.9558561646480253
531,Spain,Male,70,1,0.0,2,0,0,99503.19,0,Medium Risk,0.5,0.4975346573031146
611,Germany,Female,40,7,128486.91,2,1,0,10109.47,0,Medium Risk,0.7,0.562657214486862
600,France,Female,38,9,0.0,2,1,1,58855.85,0,Low Risk,0.7,0.29429031531585587
531,Spain,Male,37,1,143407.29,2,0,1,84402.46,0,High Risk,0.5,0.9936040220250919
601,France,Female,43,2,0.0,1,1,0,49713.87,1,Medium Risk,0.45,0.24857869655899062
548,France,Male,57,6,76165.65,1,1,1,133537.53,0,Medium Risk,0.45,0.971284815874613
759,France,Male,40,4,0.0,2,1,0,124615.59,0,Medium Risk,0.7,0.6231013786118358
678,Spain,Female,49,8,0.0,2,0,1,98090.69,0,Low Risk,0.5,0.49047189174312955
755,Germany,Female,33,6,90560.3,2,1,1,42607.69,0,Medium Risk,0.7,0.5739910177573759
594,France,Male,61,3,62391.22,1,1,1,192434.11,0,Medium Risk,0.45,1.2108782911997285
768,France,Male,42,5,0.0,3,0,0,60686.4,0,Medium Risk,0.75,0.30344340947219617
492,France,Female,31,7,0.0,2,1,1,49463.44,0,Low Risk,0.7,0.2473264994763803
637,Germany,Female,55,1,123378.2,1,1,0,81431.99,1,High Risk,0.45,0.8989215301579483
646,Spain,Female,42,3,99836.47,1,0,1,22909.56,0,High Risk,0.25,0.5124685281252078
593,Germany,Male,74,5,161434.36,2,1,1,65532.17,0,Medium Risk,0.7,0.9710991926064769
596,Spain,Male,41,5,0.0,2,0,1,141053.85,0,Medium Risk,0.5,0.705295769120919
722,Germany,Female,48,10,138311.76,1,1,1,3472.63,1,Medium Risk,0.45,0.5686304944667959
642,France,Male,25,7,0.0,2,1,0,102083.78,0,Low Risk,0.7,0.5104380924722769
472,Spain,Female,28,4,0.0,2,1,0,1801.77,0,Medium Risk,0.7,0.00900918874549683
738,Germany,Male,35,6,101744.84,1,0,0,85185.44,0,Medium Risk,0.25,0.831465792380493
732,Spain,Male,33,8,0.0,1,1,0,119882.7,0,Low Risk,0.45,0.5994360387950587
404,Germany,Female,54,4,125456.07,1,1,0,83715.66,1,Medium Risk,0.45,0.9186220385518895
701,France,Male,44,7,0.0,2,1,0,23425.78,0,Low Risk,0.7,0.11713330421223837
683,France,Male,31,2,0.0,2,0,1,77326.78,0,Medium Risk,0.5,0.3866484379812681
460,France,Female,27,7,0.0,2,1,0,156150.08,1,Low Risk,0.7,0.7807797573188751
690,France,Male,29,5,0.0,2,1,0,108577.97,0,Medium Risk,0.7,0.5429102634259048
618,Germany,Female,54,4,118449.21,1,1,1,133573.29,1,Medium Risk,0.45,1.1399924463922992
671,France,Male,30,2,0.0,1,0,1,102057.86,0,Medium Risk,0.25,0.5103084875991337
765,Spain,Female,32,9,178095.55,1,0,0,47247.56,0,Medium Risk,0.25,0.9460789099759287
651,Germany,Female,25,2,109175.14,2,1,0,114566.47,0,High Risk,0.7,1.0079912791524501
704,France,Male,32,7,127785.17,4,0,0,184464.7,1,Medium Risk,1.0,1.4316692320191597
544,France,Female,45,6,0.0,2,0,1,151401.33,0,Medium Risk,0.5,0.7570351145203058
790,France,Female,40,9,0.0,2,1,1,70607.1,0,Low Risk,0.7,0.35304877463392625
710,Germany,Male,34,9,134260.36,2,1,0,147074.67,0,Medium Risk,0.7,1.2705201006291755
743,France,Male,37,8,69143.91,2,0,1,105780.18,0,Low Risk,0.5,0.8045064246020255
702,France,Male,34,4,100054.77,1,1,0,109496.45,0,Medium Risk,0.45,0.9462893314522178
704,France,Female,45,6,0.0,1,1,1,137739.45,0,Medium Risk,0.45,0.6887231459902893
614,France,Male,38,2,116248.88,1,1,0,105140.92,0,High Risk,0.45,0.9890554352407512
609,Spain,Female,43,6,86053.52,2,1,1,113276.46,1,Medium Risk,0.7,0.9093855620823481
688,France,Female,32,6,123157.95,1,1,0,172531.23,0,Medium Risk,0.45,1.353557010999562
713,France,Male,44,1,63438.91,1,1,0,64375.4,0,Medium Risk,0.45,0.574736424426782
736,Germany,Male,57,9,95295.39,1,1,0,28434.44,1,Low Risk,0.45,0.5219946660459104
727,France,Male,18,4,133550.67,1,1,1,46941.41,0,Medium Risk,0.45,0.7670063762131125
850,France,Female,38,1,106871.81,2,1,0,29333.01,0,High Risk,0.7,0.5726276137489223
718,Spain,Male,45,3,105266.32,2,1,1,193724.51,0,High Risk,0.7,1.3882170479261788
643,France,Female,51,2,105229.53,1,1,0,34967.75,1,High Risk,0.45,0.594256767292425
653,France,Male,41,8,102768.42,1,1,0,55663.85,0,Medium Risk,0.45,0.6879319564897619
674,France,Male,18,7,0.0,2,1,1,55753.12,1,Low Risk,0.7,0.2787760819806825
690,France,Male,35,6,112689.95,1,1,0,176962.31,0,Medium Risk,0.45,1.3339911249457965
819,France,Male,38,9,122334.26,2,1,1,181507.44,0,Medium Risk,0.7,1.3951567821876822
634,Spain,Male,34,1,0.0,2,1,0,61995.57,0,Medium Risk,0.7,0.3099895056054107
633,Spain,Male,33,4,137847.41,2,1,0,98349.13,0,Medium Risk,0.7,1.0411800804849076
850,France,Male,49,5,122486.47,1,0,1,59748.19,0,Medium Risk,0.25,0.7869443012444821
665,France,Male,33,2,101286.11,1,1,1,159840.51,0,High Risk,0.45,1.2029268261596324
630,Spain,Male,26,7,0.0,2,1,1,6656.64,0,Low Risk,0.7,0.033284451495376226
836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1,Medium Risk,0.45,0.5892536670190245
668,France,Male,38,10,86977.96,1,0,1,37094.75,0,Low Risk,0.25,0.5321472132461871
753,France,Male,57,7,0.0,1,1,0,159475.08,1,Low Risk,0.45,0.7974053824423797
745,France,Female,55,9,110123.59,1,0,1,51548.14,1,Medium Risk,0.25,0.6966680013494919
693,France,Male,36,8,178111.82,1,0,0,58719.63,1,Medium Risk,0.25,1.0035062638522512
606,Germany,Male,65,10,126306.64,3,0,0,7861.68,1,Medium Risk,0.75,0.5427279790022829
660,France,Female,35,6,100768.77,1,1,0,19199.61,0,Medium Risk,0.45,0.4976339319527185
608,France,Male,42,5,0.0,2,1,0,178504.29,0,Medium Risk,0.7,0.8925550100683786
744,France,Female,44,3,0.0,2,1,1,189016.14,0,Medium Risk,0.7,0.9451162363704876
731,France,Female,40,7,118991.79,1,1,1,156048.64,0,Medium Risk,0.45,1.2545359732540577
683,France,Male,72,3,140997.26,1,0,1,52876.41,0,High Risk,0.25,0.8263622317253935
727,France,Male,28,5,0.0,2,0,1,19653.08,0,Medium Risk,0.5,0.09826909491796892
561,Germany,Male,32,6,166824.59,1,1,0,139451.98,0,Medium Risk,0.45,1.3621958827155112
700,France,Female,34,2,76322.69,1,1,0,128136.29,0,Medium Risk,0.45,0.9449035119038731
605,France,Male,35,6,0.0,2,1,1,45206.57,0,Medium Risk,0.7,0.2260413491547282
767,Spain,Male,77,8,149083.7,1,1,1,190146.83,0,Medium Risk,0.45,1.544970117849827
511,France,Male,33,7,0.0,2,0,1,158313.87,0,Low Risk,0.5,0.7915991141266912
667,France,Male,40,9,0.0,1,1,1,96670.2,0,Low Risk,0.45,0.48336917468096796
787,France,Male,33,1,126588.81,2,0,1,62163.53,0,High Risk,0.5,0.8153720780225958
705,Germany,Female,56,2,143249.67,1,1,0,88428.41,1,High Risk,0.45,1.0131063057360326
773,Germany,Male,43,8,81844.91,2,1,1,35908.46,0,Low Risk,0.7,0.505756835248655
554,France,Male,40,4,0.0,1,0,1,168780.04,0,Medium Risk,0.25,0.8439319318406372
526,Germany,Male,58,9,190298.89,2,1,1,191263.76,0,Medium Risk,0.7,1.7148256185616617
661,Germany,Male,35,2,117212.18,1,1,1,83052.03,0,High Risk,0.45,0.8824462398394781
698,France,Female,46,0,0.0,2,1,1,125962.02,0,Medium Risk,0.7,0.6298337817501938
646,France,Male,26,4,139848.17,1,1,0,164696.27,0,Medium Risk,0.45,1.38090264732541
757,Germany,Female,34,9,101861.36,2,0,0,187011.96,0,Medium Risk,0.5,1.3410819481521785
699,Spain,Male,35,2,167455.66,2,1,1,55324.49,0,High Risk,0.7,0.9440578604895423
667,France,Female,24,4,0.0,2,0,1,34335.55,0,Medium Risk,0.5,0.17168420532612028
774,Spain,Female,43,1,116360.07,1,1,0,17004.14,0,High Risk,0.45,0.5487981328841381
745,Spain,Male,40,3,88466.82,1,0,0,116331.42,0,Medium Risk,0.25,0.9342795827959876
649,France,Female,42,7,0.0,2,0,1,22974.01,0,Low Risk,0.5,0.11487436927628478
634,Germany,Female,46,5,123642.36,1,1,1,49725.16,1,Medium Risk,0.45,0.7414342768056825
665,Spain,Male,38,9,0.0,1,0,1,87412.74,0,Low Risk,0.25,0.4370801342130464
713,France,Male,38,9,72286.84,2,1,1,26136.89,0,Low Risk,0.7,0.41880172061438903
652,France,Female,40,1,0.0,2,1,0,126554.96,0,Medium Risk,0.7,0.6327985932271053
739,Spain,Male,40,1,109681.61,1,1,1,193321.3,0,High Risk,0.45,1.4037988639774368
556,Germany,Male,37,9,145018.64,2,1,0,90928.02,1,Medium Risk,0.7,1.0326553775598326
699,Spain,Male,34,8,0.0,1,1,1,76510.46,0,Low Risk,0.45,0.3825666845073375
708,Spain,Female,32,8,187487.63,1,1,1,120115.5,0,Medium Risk,0.45,1.3478661538193664
480,France,Male,35,2,165692.91,1,1,1,197984.58,0,High Risk,0.45,1.650359370657497
700,Germany,Female,59,5,137648.41,1,1,0,142977.05,1,Medium Risk,0.45,1.2635349201322552
525,Spain,Female,47,6,118560.0,1,1,0,82522.61,1,Medium Risk,0.45,0.8851710222118521
845,France,Male,33,8,164385.53,1,1,0,150664.97,0,Medium Risk,0.45,1.4085416233091306
613,France,Male,37,9,108286.5,1,1,1,114153.44,0,Medium Risk,0.45,1.0023842150514741
850,France,Female,34,2,0.0,2,1,1,171706.66,0,Medium Risk,0.7,0.8585655820658856
798,Spain,Female,58,9,0.0,2,0,0,119071.56,1,Low Risk,0.5,0.5953801862950047
773,Germany,Male,47,2,118079.47,4,1,1,143007.49,1,High Risk,1.2,1.185691554027601
614,Spain,Male,35,2,127283.78,1,1,1,31302.35,0,High Risk,0.45,0.6638303053189579
473,Spain,Male,48,8,0.0,2,1,0,71139.8,0,Low Risk,0.7,0.35571237478529194
762,France,Male,29,6,141389.06,1,1,0,54122.89,0,Medium Risk,0.45,0.8341564562782531
701,France,Male,37,8,130091.5,1,1,1,120031.29,0,Medium Risk,0.45,1.1186823660391085
600,France,Male,35,4,143744.77,2,1,0,104076.51,0,Medium Risk,0.7,1.0933230588453855
850,Spain,Male,28,9,97408.03,1,1,1,175853.64,0,Medium Risk,0.45,1.2675386931084451
613,Spain,Male,30,9,111927.45,1,1,1,175795.87,0,Medium Risk,0.45,1.325119623125318
509,France,Male,31,3,0.0,2,1,0,15360.91,0,Medium Risk,0.7,0.07680743795966728
509,Spain,Male,38,2,0.0,1,0,0,168460.12,0,Medium Risk,0.25,0.8423322716934156
609,France,Male,34,1,0.0,1,1,1,181177.9,0,Medium Risk,0.45,0.9059235627259584
456,France,Female,33,1,188285.68,1,0,0,58363.94,0,High Risk,0.25,1.0422775176060108
728,France,Female,46,2,109705.52,1,1,0,20276.87,1,High Risk,0.45,0.5386394780578452
663,Spain,Male,33,9,0.0,2,0,0,91514.62,0,Low Risk,0.5,0.45759030539548284
673,Germany,Female,34,1,127122.79,3,0,1,76703.1,0,High Risk,0.75,0.8902009360364551
717,France,Male,40,0,98241.04,1,1,0,110887.14,0,High Risk,0.45,0.9460140919062031
741,Germany,Female,37,8,170840.08,2,0,0,109843.16,0,Medium Risk,0.5,1.230150682243861
498,Germany,Female,41,4,87541.06,2,1,1,12577.21,1,Medium Risk,0.7,0.4117992413069758
850,France,Female,26,4,62610.96,2,0,1,179365.1,0,Medium Risk,0.5,1.146406597895138
493,France,Male,36,9,0.0,2,1,1,65816.53,0,Low Risk,0.7,0.32909502397290136
686,France,Female,47,5,113328.93,1,1,0,124170.9,0,Medium Risk,0.45,1.0725709208689684
666,Spain,Male,35,2,104832.49,1,1,0,175015.12,0,High Risk,0.45,1.292937472008525
733,Spain,Female,31,9,102289.85,1,1,1,115441.66,0,Medium Risk,0.45,0.9849248173080638
631,Germany,Female,34,6,125227.82,2,0,1,128247.03,0,Medium Risk,0.5,1.1403775288487883
714,Germany,Female,49,5,140510.89,1,1,0,141914.94,0,Medium Risk,0.45,1.2696331054463368
767,Germany,Female,35,6,132253.22,1,1,0,115566.57,1,Medium Risk,0.45,1.1049738551233417
711,Germany,Male,43,2,39043.29,2,1,1,175423.69,0,Medium Risk,0.7,1.032765568889033
722,France,Male,34,8,0.0,2,1,1,133447.49,0,Low Risk,0.7,0.667262539071469
631,Spain,Male,55,9,99685.06,1,1,0,114474.98,0,Medium Risk,0.45,0.9697093709605222
701,Germany,Male,38,3,125385.49,2,0,1,52044.66,0,High Risk,0.5,0.7599797747447679
790,Spain,Male,46,2,131365.37,2,1,1,180290.68,0,High Risk,0.7,1.4250678859539208
633,Spain,Male,58,6,98308.51,1,1,1,132034.13,0,Medium Risk,0.45,1.052021931654044
644,France,Female,37,8,0.0,2,1,0,20968.88,0,Low Risk,0.7,0.10484834229767039
757,Spain,Male,44,5,140856.16,2,1,0,158735.1,0,Medium Risk,0.7,1.3551132041778806
696,France,Female,30,8,0.0,2,1,1,196134.44,0,Low Risk,0.7,0.9807090746612073
746,France,Male,35,2,172274.01,1,1,0,22374.97,0,High Risk,0.45,0.7985084765895254
649,Spain,Male,36,8,0.0,2,1,0,161668.15,0,Low Risk,0.7,0.8083711447550427
565,Spain,Male,38,0,122447.76,1,0,0,67339.34,0,High Risk,0.25,0.8247471926843013
720,France,Female,38,10,0.0,2,1,1,56229.72,1,Low Risk,0.7,0.2811591715848516
648,Spain,Female,56,6,157559.59,2,1,0,140991.23,1,Medium Risk,0.7,1.3329650784177618
632,Germany,Male,41,3,126550.7,1,0,0,177644.52,1,High Risk,0.25,1.3926468449242129
622,France,Female,30,2,158584.82,3,1,0,142342.55,1,High Risk,0.95,1.3438081732276457
835,France,Male,28,2,163569.61,2,1,1,154559.28,0,High Risk,0.7,1.424761907813231
493,France,Female,31,3,0.0,1,1,1,176570.28,1,Medium Risk,0.45,0.8828845964608268
785,Germany,Female,33,6,127211.45,1,0,0,191961.83,0,Medium Risk,0.25,1.466869626058181
681,Germany,Male,42,3,118199.97,2,1,0,9452.88,1,High Risk,0.7,0.5183736694972637
621,Germany,Female,30,2,101014.08,2,1,1,165257.31,0,High Risk,0.7,1.228927619483108
756,Spain,Male,38,6,119208.85,1,1,0,169763.89,1,Medium Risk,0.45,1.3239799339519391
515,France,Female,66,6,0.0,2,1,1,160663.11,0,Medium Risk,0.7,0.803345755800418
625,France,Female,58,10,53772.73,1,1,1,192072.1,1,Low Risk,0.45,1.1747176127185228
717,Spain,Female,39,6,0.0,2,1,0,93275.61,0,Medium Risk,0.7,0.4663955864740514
595,Germany,Female,41,2,138878.81,1,0,1,112269.67,0,High Risk,0.25,1.114896230054916
539,Spain,Female,37,1,130922.81,2,0,0,2186.83,0,High Risk,0.5,0.5327512477471968
762,France,Male,35,9,0.0,2,1,1,43075.7,0,Low Risk,0.7,0.21538659853610492
706,Spain,Male,20,8,0.0,2,1,1,12368.11,0,Low Risk,0.7,0.06184287529211098
677,Spain,Female,25,8,130866.19,1,1,0,42410.21,0,Medium Risk,0.45,0.7336500407123975
733,Germany,Female,33,7,187257.94,1,0,1,190430.81,0,Medium Risk,0.25,1.69854045229718
684,Spain,Female,41,7,0.0,1,1,1,138394.37,0,Low Risk,0.45,0.6919978691198788
679,France,Male,36,6,147733.64,1,0,1,172501.38,0,Medium Risk,0.25,1.4513586405457441
478,Spain,Male,43,1,0.0,2,1,1,197916.43,0,Medium Risk,0.7,0.9896193596879241
696,France,Male,33,2,163139.27,1,1,1,7035.36,0,High Risk,0.45,0.6853993738835025
686,Spain,Female,35,4,0.0,2,1,1,159676.55,0,Medium Risk,0.7,0.7984127703201639
466,France,Female,36,5,119540.15,1,0,1,80603.99,0,Medium Risk,0.25,0.8794841277055467
686,France,Female,41,4,129553.76,2,1,0,187599.8,0,Medium Risk,0.7,1.454394358760414
576,France,Male,55,9,0.0,2,1,1,94450.97,0,Low Risk,0.7,0.4722726074500401
763,Germany,Female,61,1,66101.89,1,1,1,143981.27,0,Medium Risk,0.45,0.9833945323332629
572,France,Male,43,2,140431.98,1,1,0,26450.57,1,High Risk,0.45,0.6919750371622925
757,France,Female,49,2,0.0,2,0,0,164482.92,0,Medium Risk,0.5,0.8224455239517006
582,France,Female,29,0,0.0,1,1,1,84012.81,0,Medium Risk,0.45,0.42007984500217205
623,France,Female,35,5,0.0,2,1,0,101192.08,0,Medium Risk,0.7,0.5059794248263735
617,Germany,Female,37,4,116471.43,2,1,0,175324.74,1,Medium Risk,0.7,1.3408747438231274
425,France,Male,39,4,0.0,2,1,0,197226.32,0,Medium Risk,0.7,0.9861686799423658
659,France,Female,56,9,123785.24,1,1,0,99504.03,1,Medium Risk,0.45,0.9909074598286393
605,France,Female,33,4,0.0,2,0,1,83700.66,0,Medium Risk,0.5,0.4185190363157655
538,France,Female,38,8,88758.95,2,0,0,28226.15,1,Low Risk,0.5,0.49490100566372963
665,Germany,Male,25,5,153611.83,2,1,0,35321.65,0,Medium Risk,0.7,0.7888627958354699
491,Germany,Female,57,4,112044.72,1,1,1,41229.73,1,Medium Risk,0.45,0.6527310246673449
726,Spain,Female,27,7,123826.07,1,0,1,78970.58,0,Medium Risk,0.25,0.8883990847907602
580,France,Female,65,9,106804.26,3,1,0,107890.69,1,Medium Risk,0.95,0.9651615503293007
550,France,Female,48,6,0.0,2,1,1,191870.28,0,Medium Risk,0.7,0.9593874729689835
542,France,Female,59,2,68892.77,2,1,0,7905.06,1,Medium Risk,0.7,0.31411145921124844
732,France,Female,43,6,0.0,2,1,0,65731.53,0,Medium Risk,0.7,0.3286700079923005
473,France,Female,33,5,125827.43,1,0,1,145698.73,0,Medium Risk,0.25,1.2300291646730335
745,Spain,Male,34,9,0.0,2,1,0,50046.25,0,Low Risk,0.7,0.25024065904878023
732,France,Male,36,7,0.0,2,1,1,60830.24,0,Low Risk,0.7,0.3041626365151329
848,Germany,Female,40,5,148495.64,1,0,0,158853.98,0,Medium Risk,0.25,1.3861561644185851
572,France,Male,37,1,133043.66,1,0,0,111243.09,0,High Risk,0.25,1.0865060847550039
702,France,Male,45,9,74989.58,1,1,1,171014.69,0,Low Risk,0.45,1.1539902208212598
664,Germany,Male,39,7,60263.23,1,1,0,170835.32,0,Low Risk,0.45,1.0943987890450768
630,Germany,Male,50,3,129370.91,4,1,1,47775.34,1,High Risk,1.2,0.7545169888206419
618,Germany,Male,44,5,157955.83,2,0,0,139297.71,0,Medium Risk,0.5,1.326076446657898
556,France,Male,26,4,0.0,1,1,0,195167.38,0,Medium Risk,0.45,0.9758735928470911
619,France,Female,30,7,70729.17,1,1,1,160948.87,0,Low Risk,0.45,1.086678588945807
644,France,Male,48,8,0.0,2,0,1,44965.54,1,Low Risk,0.5,0.22483615383938435
658,Spain,Male,50,2,0.0,2,1,0,52137.73,0,Medium Risk,0.7,0.26069845226180505
598,Spain,Male,27,8,90721.52,2,1,0,109296.18,0,Low Risk,0.7,0.9080885773162239
677,France,Male,27,2,0.0,2,1,1,20092.89,0,Medium Risk,0.7,0.10046822760535795
689,Spain,Female,45,0,57784.22,1,1,0,197804.0,1,Medium Risk,0.45,1.219366713824077
591,France,Male,33,9,131765.72,1,1,0,118782.06,0,Medium Risk,0.45,1.1191088896854215
699,France,Male,40,7,0.0,1,0,1,152876.13,1,Low Risk,0.25,0.7644093917931314
749,Germany,Male,47,9,110022.74,1,0,1,135655.29,1,Medium Risk,0.25,1.1168176080590122
709,France,Female,40,9,131569.63,1,1,1,103970.58,0,Medium Risk,0.45,1.044267152639995
607,Germany,Male,61,2,164523.5,2,1,1,35786.76,0,High Risk,0.7,0.8346788799384779
650,Germany,Female,25,2,114330.95,1,1,1,25325.07,0,High Risk,0.45,0.5823169202272387
651,Spain,Female,45,10,135923.16,1,1,0,18732.84,0,Medium Risk,0.45,0.6354142134798746
676,France,Female,61,8,0.0,2,1,1,118522.73,0,Low Risk,0.7,0.592635933111085
723,France,Female,49,4,0.0,2,0,1,89972.25,0,Medium Risk,0.5,0.4498781654190197
714,Spain,Male,45,0,124693.48,1,0,1,187194.15,0,High Risk,0.25,1.432994502006613
759,Spain,Female,35,7,147936.42,1,1,1,106785.7,0,Medium Risk,0.45,1.1235761021283883
582,France,Male,29,0,0.0,1,1,0,142516.35,0,Medium Risk,0.45,0.7126085440812574
697,France,Female,34,2,126558.92,1,1,0,73334.43,0,High Risk,0.45,0.8711095461959202
610,Germany,Male,57,6,106938.11,2,0,1,186612.47,0,Medium Risk,0.5,1.359318734115518
488,Germany,Female,33,4,140002.35,1,1,0,123613.81,0,Medium Risk,0.45,1.1760971359825705
599,Germany,Male,46,9,123444.72,1,1,1,31368.08,1,Medium Risk,0.45,0.648857695355299
781,France,Male,32,6,147107.91,1,1,1,40066.95,0,Medium Risk,0.45,0.786667631141718
645,France,Male,19,9,128514.84,1,0,0,175969.19,0,Medium Risk,0.25,1.3920983173848276
545,France,Female,55,5,0.0,1,0,0,10034.77,1,Medium Risk,0.25,0.05017573660769645
597,Germany,Female,40,9,106756.01,2,1,0,151167.94,0,Medium Risk,0.7,1.181363627601951
561,Spain,Female,28,3,0.0,2,1,0,191387.76,0,Medium Risk,0.7,0.9569747822518127
662,France,Female,37,6,0.0,2,1,0,51229.17,0,Medium Risk,0.7,0.25615548144610234
649,Germany,Female,50,5,155393.32,1,1,1,87351.42,1,Medium Risk,0.45,1.056121880418065
630,France,Female,36,2,110414.48,1,1,1,48984.95,0,High Risk,0.45,0.6850109644873023
672,Spain,Male,33,2,0.0,2,1,1,182738.0,0,Medium Risk,0.7,0.9137243560357869
636,Germany,Female,37,9,157098.52,1,1,1,153535.27,0,Medium Risk,0.45,1.3938499583883248
593,Germany,Female,38,5,85626.6,1,1,1,125079.65,0,Medium Risk,0.45,0.966702163808018
545,Germany,Male,45,6,93796.42,2,1,1,162321.26,0,Medium Risk,0.7,1.18547951997384
567,Spain,Female,41,1,0.0,2,1,0,3414.72,0,Medium Risk,0.7,0.01707424199149888
583,France,Male,51,6,125268.03,2,1,0,165082.25,0,Medium Risk,0.7,1.324720818403575
681,France,Female,29,2,148143.84,1,1,1,52021.39,0,High Risk,0.45,0.8505709662104672
762,Spain,Male,29,10,115545.33,2,1,0,148256.43,0,Medium Risk,0.7,1.201836964693535
648,Spain,Male,35,7,0.0,2,0,0,122899.01,0,Low Risk,0.5,0.6145181558826611
644,France,Male,30,5,44928.88,1,1,1,10771.46,0,Medium Risk,0.45,0.23293155320132025
706,Spain,Male,29,2,0.0,2,1,1,18255.51,0,Medium Risk,0.7,0.09128098216492939
850,France,Male,35,3,162442.35,1,1,0,183566.78,0,High Risk,0.45,1.5653119615421218
484,Spain,Female,39,5,0.0,2,1,1,175224.12,0,Medium Risk,0.7,0.8761535433732308
508,Germany,Male,28,0,96213.82,2,1,0,147913.56,0,Medium Risk,0.7,1.123073298880136
439,France,Female,29,6,156569.43,1,1,0,180598.66,0,Medium Risk,0.45,1.5270632120099974
484,Spain,Male,36,8,0.0,2,1,0,186136.48,0,Low Risk,0.7,0.930717394974051
803,Spain,Female,37,1,0.0,2,0,0,7455.2,0,Medium Risk,0.5,0.0372774016303013
724,Germany,Female,48,6,110463.25,2,1,1,80552.11,1,Medium Risk,0.7,0.8430470810474495
640,France,Male,33,7,154575.76,1,1,0,25722.28,1,Medium Risk,0.45,0.7447060595319034
701,Spain,Female,35,9,0.0,2,0,0,170996.86,0,Low Risk,0.5,0.8550164486184679
537,France,Male,37,3,0.0,2,1,1,20603.32,0,Medium Risk,0.7,0.10302047356980622
651,Germany,Male,26,5,147037.32,1,0,0,141763.26,0,Medium Risk,0.25,1.2948869514748387
523,Germany,Male,41,0,119276.31,1,0,0,122284.38,1,High Risk,0.25,1.0868423315758347
717,France,Female,25,7,108664.85,2,1,0,190011.85,0,Medium Risk,0.7,1.383198509751772
593,Spain,Male,44,5,0.0,1,1,0,128046.98,0,Medium Risk,0.45,0.6402589737374125
706,Germany,Male,38,5,163034.82,2,1,1,135662.17,0,Medium Risk,0.7,1.3281413021486317
714,Germany,Female,49,4,93059.34,1,1,0,7571.51,1,Medium Risk,0.45,0.4087639094417146
794,Spain,Male,38,9,179581.31,1,1,0,23596.24,0,Medium Risk,0.45,0.8337396302421016
518,Germany,Male,46,4,113625.93,1,0,0,92727.42,1,Medium Risk,0.25,0.9165313568250943
589,Germany,Male,55,7,119961.48,1,1,0,65156.83,1,Medium Risk,0.45,0.8039247109254031
824,France,Male,45,3,129209.48,1,0,0,60151.77,0,High Risk,0.25,0.81575805703245
719,Germany,Female,42,5,137227.04,3,1,0,149097.38,1,Medium Risk,0.95,1.2924582739751473
617,Germany,Female,58,3,119024.75,2,1,0,35199.24,1,High Risk,0.7,0.6503976207911346
651,France,Male,35,7,74623.5,3,1,0,129451.29,1,Low Risk,0.95,0.9447063281433595
637,Spain,Female,45,2,157929.45,1,1,1,145134.49,1,High Risk,0.45,1.3551563017227592
554,France,Female,26,7,92606.86,2,1,0,192709.69,0,Low Risk,0.7,1.3326861753390178
731,Germany,Male,35,2,127862.93,2,1,0,139083.7,0,High Risk,0.7,1.2050656267023228
569,Spain,Female,42,1,0.0,1,1,1,83629.6,1,Medium Risk,0.45,0.41816372295598314
625,Germany,Female,37,4,142711.81,1,1,0,35625.41,0,Medium Risk,0.45,0.7469376394807041
592,France,Female,38,4,0.0,2,1,0,35338.96,0,Medium Risk,0.7,0.1767014439742934
669,France,Male,43,1,163159.85,1,0,1,15602.8,0,High Risk,0.25,0.7283202099582523
663,Germany,Male,32,3,108586.86,1,1,1,182355.21,0,High Risk,0.45,1.3446030269105034
